Repository Name,PR Title,PR URL,Age (days)
productsupcom/Insight2,Bump symfony/flex from 2.4.1 to 2.4.4,https://github.com/productsupcom/Insight2/pull/1034,22
productsupcom/Insight2,Bump tar from 4.4.13 to 4.4.19,https://github.com/productsupcom/Insight2/pull/1032,25
productsupcom/Insight2,Bump productsupcom/dblib from 1.38.2 to 1.40.0,https://github.com/productsupcom/Insight2/pull/1026,35
productsupcom/Insight2,Bump jms/serializer-bundle from 5.3.1 to 5.4.0,https://github.com/productsupcom/Insight2/pull/1014,77
productsupcom/Insight2,Bump nelmio/cors-bundle from 2.3.1 to 2.4.0,https://github.com/productsupcom/Insight2/pull/1007,89
productsupcom/Insight2,[DEV-11208] Keycloak integration,https://github.com/productsupcom/Insight2/pull/1006,89
productsupcom/Insight2,Bump browserify-sign from 4.2.1 to 4.2.2,https://github.com/productsupcom/Insight2/pull/975,123
productsupcom/Insight2,Bump @babel/traverse from 7.16.3 to 7.23.2,https://github.com/productsupcom/Insight2/pull/971,134
development-motoin/Platform-API-Client,Add optional parameter batch_id to process,https://github.com/productsupcom/Platform-API-Client/pull/18,792
Unknown or deleted repository,RAK-batchId - set batch id for multi-instance submits,https://github.com/productsupcom/Platform-API-Client/pull/11,2505
productsupcom/Platform-API-Server,Dev 17178 implement user creation in keycloak,https://github.com/productsupcom/Platform-API-Server/pull/670,0
productsupcom/Platform-API-Server,DEV-16993 - upgrade to slim 4,https://github.com/productsupcom/Platform-API-Server/pull/669,0
productsupcom/Platform-API-Server,POC: DEV-17030 - Replace Product API with Insight API,https://github.com/productsupcom/Platform-API-Server/pull/664,12
productsupcom/Platform-API-Server,Bump productsupcom/lib-site-copy from 1.2.3 to 1.3.0,https://github.com/productsupcom/Platform-API-Server/pull/663,12
lend-invest/jenkins-php-api,Support folder job names (names containing `/`),https://github.com/productsupcom/jenkins-php-api/pull/7,145
tw2066/jenkins-php-api,Build a Job,https://github.com/productsupcom/jenkins-php-api/pull/5,883
productsupcom/oauth-rest-playground,Bump guzzlehttp/psr7 from 1.2.0 to 1.9.1,https://github.com/productsupcom/oauth-rest-playground/pull/6,314
productsupcom/oauth-rest-playground,Bump guzzlehttp/guzzle from 6.1.0 to 6.5.8,https://github.com/productsupcom/oauth-rest-playground/pull/5,616
productsupcom/bin-magento,[ACC-2750] Pagination fix,https://github.com/productsupcom/bin-magento/pull/5,1930
productsupcom/bin-csv2sqlite,Fix/compatibility issues,https://github.com/productsupcom/bin-csv2sqlite/pull/114,139
productsupcom/bin-scp,Bump productsupcom/logger-binary from 5.0.1 to 5.1.1,https://github.com/productsupcom/bin-scp/pull/56,400
productsupcom/bin-scp,Bump productsupcom/directory-list from 0.5.0 to 0.7.0,https://github.com/productsupcom/bin-scp/pull/44,531
productsupcom/bin-scp,Bump productsupcom/lib-settings from 1.1.0 to 2.0.1,https://github.com/productsupcom/bin-scp/pull/43,531
productsupcom/bin-platform-api,Bump symfony/process from 6.4.3 to 6.4.4,https://github.com/productsupcom/bin-platform-api/pull/225,0
productsupcom/bin-platform-api,Bump symfony/console from 6.4.3 to 6.4.4,https://github.com/productsupcom/bin-platform-api/pull/224,0
productsupcom/bin-platform-api,Bump phpunit/phpunit from 10.5.10 to 10.5.11,https://github.com/productsupcom/bin-platform-api/pull/223,1
productsupcom/bin-platform-api,Bump productsupcom/php-cs-fixer-config from 2.1.0 to 2.2.0,https://github.com/productsupcom/bin-platform-api/pull/221,6
productsupcom/bin-platform-api,Bump productsupcom/filesystem-api from 11.4.0 to 12.0.0,https://github.com/productsupcom/bin-platform-api/pull/220,18
productsupcom/bin-platform-api,Bump php from 8.2.12-cli to 8.3.1-cli in /docker,https://github.com/productsupcom/bin-platform-api/pull/204,61
productsupcom/ansible-dyninv-rest,Bump twig/twig from 1.22.1 to 1.42.5,https://github.com/productsupcom/ansible-dyninv-rest/pull/3,704
productsupcom/ansible-dyninv-rest,Bump symfony/symfony from 2.7.4 to 2.8.52,https://github.com/productsupcom/ansible-dyninv-rest/pull/2,1548
productsupcom/addesigner,chore(deps-dev): bump ip from 1.1.5 to 1.1.9,https://github.com/productsupcom/addesigner/pull/125,6
productsupcom/addesigner,chore(deps-dev): bump tar from 4.4.8 to 4.4.19,https://github.com/productsupcom/addesigner/pull/123,25
productsupcom/addesigner,chore(deps-dev): bump follow-redirects from 1.12.1 to 1.15.4,https://github.com/productsupcom/addesigner/pull/122,50
productsupcom/addesigner,[DEV-16529] Add keycloak-js to addesigner,https://github.com/productsupcom/addesigner/pull/121,77
productsupcom/addesigner,"chore(deps): bump postcss, autoprefixer, css-loader, cssnano, optimize-css-assets-webpack-plugin, postcss-import, postcss-loader and resolve-url-loader",https://github.com/productsupcom/addesigner/pull/119,91
productsupcom/addesigner,chore(deps): bump tough-cookie and jsdom,https://github.com/productsupcom/addesigner/pull/118,91
productsupcom/addesigner,chore(deps-dev): bump semver from 5.6.0 to 5.7.2,https://github.com/productsupcom/addesigner/pull/117,91
productsupcom/addesigner,chore(deps-dev): bump @babel/traverse from 7.8.3 to 7.23.4,https://github.com/productsupcom/addesigner/pull/116,91
